motion_id,meeting_id,meeting_type,vote_date,vote_number,agenda_description,vote_start_date_time,decision,member_vote_count,vote_counts
18625-10480,18625,Policy & Strategic Priorities,2025-01-22,10480,Motion 1. Effective Water Use in the City of Vancouver,2025-01-22T10:42:02-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18625-10479,18625,Policy & Strategic Priorities,2025-01-22,10479,R2. Contract Award for Consulting Services for City of Vancouver False Creek South Landowner's Conceptual Development Plan,2025-01-22T10:20:11-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18626-10475,18626,Public Hearing,2025-01-21,10475,4. Rezoning: 5889-5925 Dunbar Street,2025-01-21T19:22:51-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18626-10474,18626,Public Hearing,2025-01-21,10474,3. Rezoning: 2520-2544 West 16th Avenue and 3223 Larch Street,2025-01-21T19:05:35-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18626-10473,18626,Public Hearing,2025-01-21,10473,2. Rezoning: 626 West 32nd Avenue,2025-01-21T18:39:07-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18626-10472,18626,Public Hearing,2025-01-21,10472,1. Miscellaneous Amendments Concerning Various CD-1 By-laws and Schedule E of the Zoning and Development By-law,2025-01-21T18:19:07-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10468,18624,Council,2025-01-21,10468,CD-1 Rezoning: 1171 West 12th Avenue,2025-01-21T11:58:56-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10467,18624,Council,2025-01-21,10467,CD-1 Rezoning: 43-95 East 3rd Avenue,2025-01-21T11:58:43-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10466,18624,Council,2025-01-21,10466,Rezoning: 8366-8380 Beatrice Street,2025-01-21T11:57:56-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10465,18624,Council,2025-01-21,10465,Rezoning: 767-791 West 28th Avenue,2025-01-21T11:57:38-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10463,18624,Council,2025-01-21,10463,CD-1 Rezoning: 4-36 West 3rd Avenue and 5 West 4th Avenue,2025-01-21T11:56:55-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10462,18624,Council,2025-01-21,10462,CD-1 Rezoning: 210-220 West 6th Avenue and 2224 Alberta Street,2025-01-21T11:56:09-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10461,18624,Council,2025-01-21,10461,Miscellaneous Amendments - Zoning and Development By-law and Various Other By laws and Land Use Documents,2025-01-21T11:55:43-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10460,18624,Council,2025-01-21,10460,CD-1 Rezoning: 2535 Carolina Street and 557-569 East 10th Avenue,2025-01-21T11:55:28-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10459,18624,Council,2025-01-21,10459,Auditor General Committee Recommendations Transmittal Report,2025-01-21T11:55:00-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18624-10458,18624,Council,2025-01-21,10458,Local Government By-election 2025,2025-01-21T11:53:51-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
