meeting_id,vote_date,meeting_type,motion_count,unmatched_motion_count,vote_numbers,expected_minutes_url,reason
18202,2022-05-25,Special Council,1,1,8406,https://council.vancouver.ca/20220525/documents/spec20220525min.pdf,minutes_not_available
18203,2022-06-07,Council,30,1,8433,https://council.vancouver.ca/20220607/documents/regu20220607min.pdf,not_cached
18206,2022-06-08,City Finance & Services,25,25,"8452,8453,8454,8455,8456,8457,8458,8459,8460,8461,8462,8463,8465,8466,8468,8470,8471,8472,8473,8474,8658,8659,8660,8661,8662",https://council.vancouver.ca/20220608/documents/cfsc20220608min.pdf,minutes_not_available
18309,2022-06-15,City Finance & Services,5,5,"8506,8507,8509,8510,8511",https://council.vancouver.ca/20220615/documents/cfsc20220615min.pdf,minutes_not_available
18208,2022-06-15,Special Council,1,1,8512,https://council.vancouver.ca/20220615/documents/spec20220615min.pdf,minutes_not_available
18310,2022-06-16,City Finance & Services,10,10,"8513,8514,8515,8516,8517,8518,8519,8520,8521,8522",https://council.vancouver.ca/20220616/documents/cfsc20220616min.pdf,minutes_not_available
18215,2022-07-06,City Finance & Services,1,1,8657,https://council.vancouver.ca/20220706/documents/cfsc20220706min.pdf,minutes_not_available
18220,2022-07-20,Policy & Strategic Priorities,27,5,"8706,8709,8720,8726,8728",https://council.vancouver.ca/20220720/documents/pspc20220720min.pdf,not_cached
18319,2022-07-22,City Finance & Services,20,20,"8741,8742,8743,8744,8745,8746,8747,8748,8749,8750,8751,8752,8753,8754,8755,8756,8758,8759,8760,8761",https://council.vancouver.ca/20220722/documents/cfsc20220722min.pdf,minutes_not_available
18323,2022-07-26,Public Hearing,14,10,"8767,8768,8769,8770,8771,8772,8773,8774,8775,8776",https://council.vancouver.ca/20220726/documents/phea20220726min.pdf,vote_number_not_found_in_matched_minutes
18315,2022-09-27,Council,6,6,"8782,8783,8784,8785,8786,8787",https://council.vancouver.ca/20220927/documents/regu20220927min.pdf,minutes_not_available
18226,2022-11-07,Council,6,6,"8839,8840,8841,8842,8843,8844",https://council.vancouver.ca/20221107/documents/regu20221107min.pdf,minutes_not_available
18229,2022-11-16,Policy & Strategic Priorities,12,12,"8860,8861,8862,8863,8864,8865,8866,8867,8868,8869,8870,8871",https://council.vancouver.ca/20221116/documents/pspc20221116min.pdf,minutes_not_available
18432,2022-11-22,Policy & Strategic Priorities,14,14,"8874,8875,8876,8877,8878,8879,8880,8881,8882,8883,8884,8885,8886,8887",https://council.vancouver.ca/20221122/documents/pspc20221122min.pdf,minutes_not_available
18230,2022-11-22,Special Council,1,1,8873,https://council.vancouver.ca/20221122/documents/spec20221122min.pdf,minutes_not_available
18231,2022-11-23,Special Council,1,1,8888,https://council.vancouver.ca/20221123/documents/spec20221123min.pdf,minutes_not_available
18443,2023-02-02,Auditor General Committee,5,5,"8990,8992,8993,8994,8996",https://council.vancouver.ca/20230202/documents/agc20230202min.pdf,minutes_not_available
